truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Volkswagen Atlas Cross Sport,2020,Fair Price,2.0T SE 4MOTION,At or near avg. list price,"$30,998 ","25,472 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2020,Fair Price,GLE 450 4MATIC,At or near avg. list price,"$61,894 ","14,552 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda CX-5,2022,Fair Price,2.5 S,At or near avg. list price,"$27,360 ",35 miles,,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota RAV4,2017,High Price,XLE FWD,$468 above avg. list price,"$26,990 ","64,950 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Honda Accord,2014,High Price,LX Sedan I4 CVT,$243 above avg. list price,"$15,588 ","108,802 miles",,,"Gray exterior, Gray interior","1 accident, 3 Owners, Personal use"
Mercedes-Benz GL,2013,High Price,GL 450 4MATIC,$300 above avg. list price,"$17,950 ","122,100 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Toyota Tundra,2015,,,,"$33,998 ","49,265 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
Ford Escape,2014,High Price,Titanium FWD,"$1,285 above avg. list price","$14,599 ","121,337 miles",,,"Red exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2021,Fair Price,GLC 300 Coupe 4MATIC,$764 above avg. list price,"$59,894 ","6,881 miles",,Certified Pre-Owned,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Chevrolet Colorado,2020,Fair Price,ZR2 Crew Cab Short Box 4WD,At or near avg. list price,"$39,997 ","28,000 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Flex,2018,High Price,Limited FWD,$510 above avg. list price,"$25,503 ","46,009 miles",,,"Blue exterior, Black interior","1 accident, 2 Owners, Fleet use"
Mercedes-Benz G-Class,2015,High Price,G 550 4MATIC,$948 above avg. list price,"$60,459 ","111,144 miles",,,"Black exterior, Black interior","2 accidents, 4 Owners, Personal use"
Acura MDX,2017,High Price,SH-AWD with Technology Package,$782 above avg. list price,"$32,823 ","30,008 miles",,,"Red exterior, Beige interior","No accidents, 1 Owner, Personal use"
Lexus RX,2016,High Price,RX 350 FWD,$849 above avg. list price,"$28,481 ","76,890 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
GMC Yukon,2016,High Price,Denali RWD,$777 above avg. list price,"$32,290 ","105,983 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2016,Fair Price,E 550 Coupe RWD,$50 above avg. list price,"$29,997 ","73,663 miles",,,"Black exterior, Red interior","No accidents, 2 Owners, Personal use"
Mazda CX-30,2022,Great Price,Turbo Premium,$32 off avg. list price,"$31,595 ","14,326 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Prius Prime,2021,Fair Price,Limited,$394 above avg. list price,"$34,220 ","21,710 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche Taycan,2020,Fair Price,Turbo,$423 above avg. list price,"$139,991 ","15,306 miles",,Certified Pre-Owned,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
