truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Audi Q3,2021,Fair Price,S line Premium Plus,At or near avg. list price,"$39,100 ","13,192 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Escape,2016,Fair Price,SE FWD,$70 above avg. list price,"$13,998 ","100,859 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Porsche 911,2005,Great Price,Carrera 997,$338 off avg. list price,"$42,000 ","75,827 miles",,,"Gray exterior, Black interior","No accidents, 6 Owners, Personal use"
Nissan 350Z,2007,Great Price,Enthusiast Roadster Auto,$56 off avg. list price,"$12,997 ","85,319 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
GMC Acadia,2011,Excellent Price,FWD 4dr SLT1,$365 off avg. list price,"$6,888 ","170,488 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz EQS Sedan,2022,Fair Price,EQS 450+ RWD,At or near avg. list price,"$99,893 ","10,245 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Pilot,2017,Excellent Price,LX FWD,"$1,869 off avg. list price","$20,499 ","36,669 miles",,,"Silver exterior, Gray interior","1 accident, 1 Owner, Personal use"
Tesla Model S,2015,Excellent Price,85 RWD,"$1,861 off avg. list price","$32,999 ","77,337 miles",Dealer Discount Available,,"Gray exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Volkswagen Passat,2014,,,,"$14,599 ","99,560 miles",,,"Silver exterior, Black interior","1 accident, 2 Owners, Personal use"
Mercedes-Benz C-Class,2018,Fair Price,C 63 AMG Cabriolet RWD,At or near avg. list price,"$66,893 ","18,864 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2016,Fair Price,GLA 250 4MATIC,At or near avg. list price,"$26,894 ","35,772 miles",,,"Gray exterior, Gray interior","No accidents, 3 Owners, Personal use"
Porsche 911,2022,Fair Price,Carrera Cabriolet RWD,At or near avg. list price,"$145,891 ",361 miles,,,"Green exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche Macan,2020,Great Price,S AWD,$122 off avg. list price,"$57,417 ","31,374 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLB,2022,Fair Price,GLB 250 FWD,$306 above avg. list price,"$45,145 ","4,878 miles",,,"Blue exterior, Beige interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2017,Fair Price,330i Sedan RWD,$276 above avg. list price,"$22,952 ","59,432 miles",,,"Unknown exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Equinox,2018,Fair Price,LT with 1LT FWD,$220 above avg. list price,"$21,998 ","56,319 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz CLK,2008,Great Price,CLK 350 Coupe,$29 off avg. list price,"$11,500 ","78,403 miles",,,"White exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Mazda CX-5,2019,Fair Price,Sport FWD,$208 above avg. list price,"$25,998 ","18,437 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Dodge Challenger,2020,Fair Price,SRT Hellcat RWD,At or near avg. list price,"$66,950 ","11,352 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Optima,2015,Great Price,SX Turbo,$101 off avg. list price,"$17,000 ","61,244 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz C-Class,2016,Great Price,C 450 4MATIC AMG Sedan,$350 off avg. list price,"$28,000 ","88,309 miles",,,"Black exterior, Red interior","No accidents, 1 Owner, Personal use"
Scion tC,2010,Great Price,Base Automatic,$162 off avg. list price,"$12,994 ","20,146 miles",,,"Blue exterior, Gray interior","No accidents, 2 Owners, Personal use"
Nissan Rogue,2015,Great Price,SL FWD,$225 off avg. list price,"$15,999 ","82,558 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda Mazda3,2017,Great Price,Grand Touring 5-Door Automatic,$46 off avg. list price,"$16,800 ","98,500 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2019,Fair Price,Preferred 5-Door FWD Automatic,At or near avg. list price,"$22,850 ","29,408 miles",,,"Red exterior, Black interior","1 accident, 2 Owners, Personal use"
Mercedes-Benz C-Class,2016,Fair Price,C 300 Sedan RWD,At or near avg. list price,"$21,575 ","74,473 miles",Dealer Discount Available,,"Silver exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Tesla Model S,2015,Great Price,P85D AWD,$629 off avg. list price,"$44,900 ","53,942 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Kia K5,2021,Fair Price,GT-Line FWD,At or near avg. list price,"$29,799 ","11,316 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Tesla Model X,2022,Fair Price,AWD,$121 above avg. list price,"$119,894 ","1,199 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Tucson,2021,Great Price,Value FWD,$41 off avg. list price,"$22,850 ","18,776 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Land Rover Range Rover,2006,Great Price,SC,$31 off avg. list price,"$12,497 ","90,576 miles",,,"Black exterior, Beige interior","No accidents, 5 Owners, Personal use"
Mercedes-Benz GLC,2022,High Price,GLC 300 SUV RWD,"$1,728 above avg. list price","$49,585 ","8,934 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Acura TLX,2019,Great Price,3.5L FWD,$36 off avg. list price,"$26,988 ","36,145 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW M3,2022,Great Price,Competition RWD,$899 off avg. list price,"$82,988 ","7,050 miles",Dealer Discount Available,,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2020,Fair Price,Hybrid LE CVT,$375 above avg. list price,"$28,998 ","23,446 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz AMG GT,2020,Fair Price,AMG GT 53 4-Door Coupe,At or near avg. list price,"$91,892 ","21,698 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda MX-5 Miata,2020,Fair Price,Club Manual,At or near avg. list price,"$34,895 ","9,214 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Traverse,2016,Great Price,LT with 1LT FWD,$79 off avg. list price,"$15,050 ","90,168 miles",,,"Black exterior, Gray interior","No accidents, 3 Owners, Personal use"
Ram 1500,2012,Excellent Price,"Express Regular Cab 6'4"" Box 2WD","$1,920 off avg. list price","$15,999 ","73,993 miles",,,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
Ford Fusion,2019,Great Price,SE FWD,$481 off avg. list price,"$18,223 ","51,940 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Chevrolet Equinox,2012,Great Price,LT with 1LT FWD,$145 off avg. list price,"$9,488 ","127,296 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Fleet use"
Porsche 911,2022,Great Price,GT3 Coupe RWD,"$1,084 off avg. list price","$278,888 ","2,640 miles",,,"Green exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Tahoe,2010,Fair Price,LT RWD,At or near avg. list price,"$13,250 ","154,892 miles",Dealer Discount Available,,"Black exterior, Black interior","1 accident, 1 Owner, Personal use"
Toyota Tacoma,2021,Fair Price,SR5 Double Cab 5' Bed V6 2WD Automatic,$99 above avg. list price,"$38,900 ","2,056 miles",,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Acura TLX,2019,Fair Price,3.5L FWD with A-Spec Package,At or near avg. list price,"$31,859 ","39,496 miles",,,"Black exterior, Red interior","No accidents, 1 Owner, Fleet use"
Porsche Panamera,2018,Great Price,4S Sport Turismo AWD,"$2,140 off avg. list price","$78,995 ","38,662 miles",,Certified Pre-Owned,"Red exterior, Brown interior","No accidents, 1 Owner, Personal use"
Acura MDX,2022,Great Price,Advance Package SH-AWD,$114 off avg. list price,"$57,100 ","10,526 miles",,Certified Pre-Owned,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2020,Fair Price,SV PLUS,$1 above avg. list price,"$31,990 ","38,486 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2021,Fair Price,XSE V6 Automatic,At or near avg. list price,"$35,999 ","20,452 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
MINI Countryman,2011,Excellent Price,S FWD,$301 off avg. list price,"$8,988 ","134,460 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
MINI Hardtop,2017,Fair Price,Hardtop 4-Door,At or near avg. list price,"$18,399 ","37,788 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Civic,2015,Fair Price,LX Sedan CVT,$176 above avg. list price,"$16,998 ","73,538 miles",,,"Silver exterior, Gray interior","1 accident, 1 Owner, Personal use"
Mercedes-Benz E-Class,2022,Fair Price,E 350 Sedan RWD,At or near avg. list price,"$55,988 ","10,615 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2020,Fair Price,GLE 450 4MATIC,$161 above avg. list price,"$47,892 ","83,343 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2016,Fair Price,TRD Off Road Double Cab 5' Bed V6 4WD Automatic,At or near avg. list price,"$30,998 ","114,907 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Ford F-150,2015,Fair Price,XLT SuperCrew 5.5' Box RWD,$19 above avg. list price,"$23,900 ","103,153 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
BMW X1,2016,Fair Price,xDrive28i AWD,$25 above avg. list price,"$24,998 ","47,613 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Trax,2019,Fair Price,LS FWD,At or near avg. list price,"$18,998 ","38,036 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus LX,2021,High Price,LX 570 2-Row,"$2,564 above avg. list price","$84,511 ","28,747 miles",Dealer Discount Available,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
GMC HUMMER EV,2022,Fair Price,Edition 1 Crew Cab,At or near avg. list price,"$193,395 ",547 miles,Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,High Price,GLB 250 FWD,$851 above avg. list price,"$45,055 ","5,642 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Audi Q5,2015,Great Price,Premium 2.0T quattro,$181 off avg. list price,"$13,450 ","105,906 miles",,,"White exterior, Brown interior","1 accident, 4 Owners, Fleet use"
Subaru Outback,2007,Great Price,2.5i SUV Auto,$60 off avg. list price,"$5,999 ","155,400 miles",Dealer Discount Available,,"Gold exterior, Beige interior","No accidents, 3 Owners, Personal use"
Audi RS 5,2019,Fair Price,Sportback,At or near avg. list price,"$67,878 ","13,992 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLE,2018,Fair Price,GLE 350 4MATIC SUV,At or near avg. list price,"$34,893 ","56,297 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Fair Price,GLB 250 4MATIC,$269 above avg. list price,"$45,465 ","6,807 miles",,,"Black exterior, Beige interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2021,Fair Price,Long Range AWD,At or near avg. list price,"$62,988 ","22,745 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Forte,2017,Fair Price,Forte5 LX Automatic,At or near avg. list price,"$13,720 ","62,808 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Mustang,2013,High Price,GT Premium Coupe,$708 above avg. list price,"$29,880 ","25,828 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW M6,2016,Excellent Price,Gran Coupe,"$2,064 off avg. list price","$51,950 ","28,080 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan Versa,2021,Fair Price,S CVT,$130 above avg. list price,"$17,995 ","53,600 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2015,Great Price,LE Plus CVT,$144 off avg. list price,"$15,990 ","78,612 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
Honda CR-V,2019,Great Price,EX-L FWD,$544 off avg. list price,"$25,889 ","29,265 miles",,Certified Pre-Owned,"White exterior, Beige interior","1 accident, 1 Owner, Personal use"
Toyota RAV4,2021,Fair Price,Hybrid XLE with Lithium Battery AWD,$304 above avg. list price,"$38,580 ","37,906 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche Macan,2018,Great Price,S AWD,$723 off avg. list price,"$41,999 ","40,208 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Audi RS 5,2018,Great Price,Coupe,$746 off avg. list price,"$49,350 ","70,781 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Subaru Crosstrek,2019,Great Price,2.0i Premium Manual,$164 off avg. list price,"$23,500 ","63,277 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Avalon,2020,Great Price,XLE,$129 off avg. list price,"$25,879 ","48,725 miles",,,"Blue exterior, Unknown interior","1 accident, 1 Owner, Fleet use"
Mercedes-Benz CLA,2022,Fair Price,CLA 250 FWD,$105 above avg. list price,"$41,998 ","8,401 miles",Dealer Discount Available,Certified Pre-Owned,"Red exterior, Beige interior","No accidents, 1 Owner, Personal use"
Honda Pilot,2019,Fair Price,EX FWD,At or near avg. list price,"$26,599 ","39,203 miles",,,"White exterior, Black interior","2 accidents, 1 Owner, Personal use"
Jeep Wrangler,2020,Great Price,Unlimited Sahara,$386 off avg. list price,"$32,995 ","64,557 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model X,2017,Great Price,75D,$637 off avg. list price,"$58,450 ","93,808 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Fleet use"
Chevrolet Tahoe Police,2007,Fair Price,2WD 4dr,At or near avg. list price,"$9,999 ","134,052 miles",Dealer Discount Available,,"Unknown exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Highlander,2016,Fair Price,Limited V6 FWD,At or near avg. list price,"$25,870 ","84,697 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Toyota Tacoma,2015,Fair Price,PreRunner Double Cab V6 RWD Automatic,At or near avg. list price,"$29,990 ","80,975 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz EQS Sedan,2022,Fair Price,EQS 450+ RWD,At or near avg. list price,"$101,893 ","3,412 miles",,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 1 Owner, Fleet use"
Mercedes-Benz GL,2007,,GL 450 4MATIC,,"$5,998 ","143,609 miles",,,"Gray exterior, Beige interior","No accidents, 2 Owners, Personal use"
Toyota C-HR,2018,Great Price,XLE FWD,$129 off avg. list price,"$19,990 ","113,629 miles",Dealer Discount Available,,"Unknown exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda CX-5,2022,Fair Price,2.5 S Premium Plus,At or near avg. list price,"$34,718 ","3,596 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Explorer,2019,Fair Price,Sport 4WD,$9 above avg. list price,"$40,998 ","8,564 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Spark EV,2015,Fair Price,EV LT with 1SA AT,At or near avg. list price,"$14,260 ","28,879 miles",,,"White exterior, Blue interior","No accidents, 4 Owners, Fleet use"
Honda Pilot,2016,Fair Price,EX-L with Navigation FWD,At or near avg. list price,"$24,998 ","69,548 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Focus,2018,Great Price,ST Hatchback,$165 off avg. list price,"$17,750 ","79,685 miles",,,"Gray exterior, Black interior","1 accident, 1 Owner, Personal use"
Subaru Outback,2018,Great Price,3.6R Limited,$168 off avg. list price,"$23,998 ","83,120 miles",,,"Red exterior, Gray interior","1 accident, 1 Owner, Personal use"
Mercedes-Benz GLA,2020,Fair Price,GLA 250 4MATIC,At or near avg. list price,"$32,894 ","24,402 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mazda CX-3,2019,Fair Price,Grand Touring FWD,At or near avg. list price,"$24,998 ","26,631 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
FIAT 500e,2014,Great Price,500e Hatchback,$55 off avg. list price,"$11,450 ","56,028 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz SLS AMG,2014,Fair Price,SLS AMG GT Roadster,At or near avg. list price,"$185,888 ","9,093 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Tesla Model X,2017,Great Price,75D,$747 off avg. list price,"$64,050 ","47,149 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2015,Great Price,S Plus CVT,$102 off avg. list price,"$9,999 ","124,494 miles",Dealer Discount Available,,"White exterior, Gray interior","1 accident, 3 Owners, Personal use"
Ford Thunderbird,2004,Great Price,2dr Convertible Deluxe,$336 off avg. list price,"$12,488 ","85,570 miles",,,"Blue exterior, Black interior","1 accident, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,High Price,GLC 300 SUV RWD,"$2,191 above avg. list price","$51,600 ","9,017 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2010,Great Price,Access Cab I4 RWD Manual,$116 off avg. list price,"$13,998 ","129,253 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Subaru Forester,2015,Great Price,2.0XT Premium CVT,$382 off avg. list price,"$14,998 ","110,546 miles",Dealer Discount Available,,"Blue exterior, Black interior","No accidents, 3 Owners, Personal use"
Mitsubishi Mirage,2018,Great Price,SE Hatchback CVT,$204 off avg. list price,"$14,880 ","28,732 miles",,,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Cadillac Escalade,2022,Great Price,ESV Premium Luxury RWD,$306 off avg. list price,"$99,988 ","10,715 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Audi A6,2008,Great Price,Sedan 3.2L quattro,$116 off avg. list price,"$7,950 ","114,400 miles",,,"Black exterior, Orange interior","No accidents, 5 Owners, Personal use"
Chevrolet Camaro,2021,Fair Price,SS with 1SS Coupe,At or near avg. list price,"$45,250 ","8,446 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2020,Fair Price,Long Range Dual Motor,$658 above avg. list price,"$46,998 ","44,642 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Mazda CX-5,2019,Great Price,Touring FWD,$284 off avg. list price,"$23,895 ","44,970 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Volkswagen Atlas Cross Sport,2021,Fair Price,2.0T SE with Technology FWD,At or near avg. list price,"$32,999 ","18,700 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Jaguar E-PACE,2020,Great Price,P250 AWD S,$912 off avg. list price,"$37,998 ","12,470 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2019,Excellent Price,Performance Dual Motor,"$2,225 off avg. list price","$45,399 ","21,236 miles",,,"Blue exterior, White interior","No accidents, 1 Owner, Personal use"
Hyundai Sonata,2014,High Price,Hybrid Limited 2.4L Automatic,$535 above avg. list price,"$15,495 ","81,034 miles",Dealer Discount Available,,"Black exterior, Gray interior","2 accidents, 3 Owners, Personal use"
Mercedes-Benz GLS,2019,Fair Price,GLS 450 4MATIC SUV,$377 above avg. list price,"$53,893 ","32,746 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus NX,2015,Great Price,NX 200t F Sport FWD,$582 off avg. list price,"$25,888 ","57,619 miles",,,"Black exterior, Red interior","No accidents, 1 Owner, Personal use"
Honda Accord,2015,Fair Price,LX Sedan I4 CVT,At or near avg. list price,"$19,180 ","56,055 miles",,,"White exterior, Beige interior","No accidents, 4 Owners, Fleet use"
Mazda MX-5 Miata,2017,Great Price,Club Manual,$27 off avg. list price,"$21,999 ","48,011 miles",,,"Gray exterior, Black interior","1 accident, 1 Owner, Personal use"
Chevrolet Silverado 1500,2020,High Price,RST Crew Cab Short Bed 4WD,$799 above avg. list price,"$46,995 ","46,553 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2020,Fair Price,C 300 Coupe RWD,$50 above avg. list price,"$41,894 ","27,638 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche 911,2022,Great Price,Carrera S Coupe RWD,$597 off avg. list price,"$165,479 ",348 miles,,Certified Pre-Owned,"White exterior, Red interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2022,Excellent Price,TRD Sport Double Cab 6' Bed V6 4WD Automatic,"$1,424 off avg. list price","$41,880 ","12,064 miles",,,"Red exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2016,,,,"$13,998 ","117,521 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Nissan LEAF,2022,Fair Price,S,At or near avg. list price,"$29,977 ","3,673 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW X3,2020,High Price,sDrive30i RWD,$732 above avg. list price,"$38,998 ","19,360 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Honda Accord,2018,Fair Price,EX-L with Navigation 1.5T CVT,At or near avg. list price,"$25,683 ","60,227 miles",,,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2014,Fair Price,E 63 S AMG Sedan 4MATIC,At or near avg. list price,"$28,995 ","227,000 miles",,,"Silver exterior, Black interior","1 accident, 2 Owners, Personal use"
Acura MDX,2020,Excellent Price,Standard SH-AWD,"$1,235 off avg. list price","$36,327 ","15,564 miles",,Certified Pre-Owned,"Black exterior, Beige interior","1 accident, 1 Owner, Personal use"
Nissan Altima,2014,Fair Price,2.5 SV,$60 above avg. list price,"$14,998 ","91,365 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Silverado 1500,2011,Great Price,Hybrid with 1HY Crew Cab Short Box 2WD,$135 off avg. list price,"$13,950 ","120,660 miles",,,"White exterior, Black interior","1 accident, 5 Owners, Personal use"
Honda Civic,2016,Great Price,EX Sedan CVT,$483 off avg. list price,"$19,339 ","53,624 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Spark EV,2016,Fair Price,EV LT with 1SA AT,At or near avg. list price,"$13,967 ","34,983 miles",,,"White exterior, Blue interior","1 accident, 2 Owners, Personal use"
Toyota Camry,2023,Fair Price,SE Automatic FWD,At or near avg. list price,"$30,892 ","1,612 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota 4Runner,2008,Excellent Price,SR5 V6 RWD,$356 off avg. list price,"$10,588 ","222,579 miles",,,"Silver exterior, Gray interior","No accidents, 3 Owners, Personal use"
Chevrolet Volt,2017,Fair Price,LT,At or near avg. list price,"$13,998 ","163,084 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2019,High Price,330i Sedan RWD,"$1,115 above avg. list price","$33,998 ","25,770 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Ford Mustang Mach-E,2021,Fair Price,Premium AWD,At or near avg. list price,"$57,998 ","14,567 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Land Rover Range Rover,2021,Fair Price,SV Autobiography LWB,At or near avg. list price,"$169,888 ","23,880 miles",,,"Black exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2017,,,,"$33,893 ","36,628 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Silverado 1500,2017,Fair Price,LT Crew Cab Short Box 2WD,At or near avg. list price,"$32,980 ","42,875 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2014,Fair Price,PreRunner Double Cab I4 RWD Automatic,At or near avg. list price,"$24,981 ","59,735 miles",,,"Silver exterior, Gray interior","No accidents, 3 Owners, Fleet use"
Mitsubishi Endeavor,2011,Excellent Price,SE FWD,$846 off avg. list price,"$10,997 ","49,000 miles",,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Tesla Model S,2021,Fair Price,Long Range Plus,At or near avg. list price,"$77,999 ","34,732 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Tesla Model 3,2018,Great Price,Mid Range RWD,$770 off avg. list price,"$38,995 ","32,977 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Camaro,2014,Fair Price,LT with 1LT Coupe,$4 above avg. list price,"$21,998 ","44,975 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Lincoln MKC,2019,Fair Price,Reserve FWD,$52 above avg. list price,"$30,998 ","17,120 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Fleet use"
Toyota RAV4,2017,Great Price,XLE FWD,$145 off avg. list price,"$17,999 ","95,794 miles",Dealer Discount Available,,"White exterior, Black interior","1 accident, 3 Owners, Personal use"
Ford Focus,2005,Fair Price,5dr HB ZX5 SE,At or near avg. list price,"$4,999 ","85,550 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Fleet use"
Acura Integra,2023,Great Price,A-Spec Technology Package Manual,$199 off avg. list price,"$34,250 ",262 miles,,Certified Pre-Owned,"Blue exterior, Beige interior","No accidents, 0 Owners, Personal use"
Scion tC,2016,Excellent Price,Release Series 10.0 Automatic,$752 off avg. list price,"$12,999 ","99,899 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Fleet use"
Chevrolet Corvette,2019,Fair Price,Z06 2LZ Coupe,At or near avg. list price,"$81,988 ","6,937 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Forte,2017,Great Price,Forte5 LX Automatic,$50 off avg. list price,"$11,950 ","94,300 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Tesla Model S,2021,Fair Price,Plaid,$968 above avg. list price,"$119,998 ","3,278 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche Cayenne,2019,Fair Price,E-Hybrid AWD,At or near avg. list price,"$69,991 ","39,642 miles",,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2019,Fair Price,Sport 1.5T CVT,$381 above avg. list price,"$27,999 ","30,182 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
INFINITI G,2013,Excellent Price,G37 Journey Sedan RWD Automatic,$451 off avg. list price,"$14,880 ","83,218 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Tesla Model X,2016,Great Price,70D,$173 off avg. list price,"$58,099 ","47,964 miles",,,"Unknown exterior, Unknown interior","No accidents, 2 Owners, Fleet use"
